Run	BioProject	Treatment	Tissue	Genotype
SRR11263237	PRJNA609211	Drought	Leaf	
SRR11263238	PRJNA609211	Drought	Leaf	
SRR11263239	PRJNA609211	Drought	Leaf	
SRR11263240	PRJNA609211	Drought	Leaf	
SRR11263241	PRJNA609211	Drought	Leaf	
SRR11263242	PRJNA609211	Drought	Leaf	
SRR11342741	PRJNA613213	Drought	Root	IR64
SRR11342742	PRJNA613213	Drought	Shoot	IR64
SRR11342749	PRJNA613213	Drought	Root	Nagina22
SRR11342750	PRJNA613213	Drought	Shoot	Nagina22
SRR11454472	PRJNA616958	Drought	Leaf	Zhonghua
SRR11607892	PRJNA628020	Drought	Root	IR64
SRR11607893	PRJNA628020	Control	Root	IR64
SRR11607894	PRJNA628020	Drought	Leaf	IR64
SRR11607895	PRJNA628020	Control	Leaf	IR64
SRR11607896	PRJNA628020	Drought	Root	Nagina22
SRR11607897	PRJNA628020	Control	Root	Nagina22
SRR11607898	PRJNA628020	Drought	Leaf	Nagina22
SRR11607899	PRJNA628020	Control	Leaf	Nagina22
SRR12058235	PRJNA635251	Drought	Leaf	IRAT109
SRR12058236	PRJNA635251	Drought	Leaf	IRAT109
SRR12058237	PRJNA635251	Drought	Leaf	IRAT109
SRR12058238	PRJNA635251	Drought	Leaf	IRAT109
SRR12058239	PRJNA635251	Drought	Leaf	IRAT109
SRR12058240	PRJNA635251	Drought	Leaf	IRAT109
SRR12058242	PRJNA635251	Drought	Leaf	IRAT109
SRR12058243	PRJNA635251	Drought	Leaf	IRAT109
SRR12058244	PRJNA635251	Drought	Leaf	IRAT109
SRR12058245	PRJNA635251	Drought	Leaf	IRAT109
SRR12058246	PRJNA635251	Drought	Leaf	IRAT109
SRR12058247	PRJNA635251	Drought	Leaf	IRAT109
SRR12073954	PRJNA641365	Control	Developing seed	N22
SRR12073955	PRJNA641365	Control	Developing seed	N22
SRR12073956	PRJNA641365	Control	Developing seed	N22
SRR12339145	PRJNA649154	Control	Leaf	IAPAR9
SRR12339146	PRJNA649154	Control	Leaf	IAPAR9
SRR12339147	PRJNA649154	Drought	Leaf	IAPAR9
SRR12339148	PRJNA649154	Drought	Leaf	IAPAR9
SRR12339149	PRJNA649154	Control	Leaf	IAPAR9
SRR12339150	PRJNA649154	Control	Leaf	IAPAR9
SRR12339151	PRJNA649154	Control	Leaf	IAPAR9
SRR12339152	PRJNA649154	Control	Leaf	IAPAR9
SRR12339153	PRJNA649154	Drought	Leaf	IAPAR9
SRR12339154	PRJNA649154	Drought	Leaf	IAPAR9
SRR12339155	PRJNA649154	Drought	Leaf	IAPAR9
SRR12339156	PRJNA649154	Drought	Leaf	IAPAR9
SRR12567749	PRJNA660861	Drought	Whole plant	IR64
SRR12567750	PRJNA660861	Drought	Whole plant	IR64
SRR12567751	PRJNA660861	Control	Whole plant	IR64
SRR12567752	PRJNA660861	Control	Whole plant	IR64
SRR12764687	PRJNA667047	Control	Leaf	
SRR12764691	PRJNA667047	Control	Leaf	
SRR12764692	PRJNA667047	Control	Leaf	
SRR12764693	PRJNA667047	Drought	Leaf	
SRR12764694	PRJNA667047	Drought	Leaf	
SRR12764697	PRJNA667047	Drought	Leaf	
SRR12764698	PRJNA667047	Drought	Leaf	
SRR12764699	PRJNA667047	Control	Leaf	
SRR12764703	PRJNA667047	Control	Leaf	
SRR12764706	PRJNA667047	Drought	Leaf	
SRR12764709	PRJNA667047	Drought	Leaf	
SRR12764710	PRJNA667047	Drought	Leaf	
SRR12764713	PRJNA667047	Control	Leaf	
SRR12764714	PRJNA667047	Control	Leaf	
SRR12764688	PRJNA667047	Control	Leaf	
SRR12764689	PRJNA667047	Control	Leaf	
SRR12764690	PRJNA667047	Control	Leaf	
SRR12764695	PRJNA667047	Drought	Leaf	
SRR12764696	PRJNA667047	Drought	Leaf	
SRR12764700	PRJNA667047	Control	Leaf	
SRR12764701	PRJNA667047	Control	Leaf	
SRR12764702	PRJNA667047	Control	Leaf	
SRR12764704	PRJNA667047	Control	Leaf	
SRR12764705	PRJNA667047	Drought	Leaf	
SRR12764707	PRJNA667047	Drought	Leaf	
SRR12764708	PRJNA667047	Drought	Leaf	
SRR12764711	PRJNA667047	Control	Leaf	
SRR12764712	PRJNA667047	Control	Leaf	
SRR12764715	PRJNA667047	Control	Leaf	
SRR12764716	PRJNA667047	Control	Leaf	
SRR12873461	PRJNA670511	Control	Leaf	IAPAR9
SRR12873462	PRJNA670511	Control	Leaf	IAPAR9
SRR12873463	PRJNA670511	Control	Leaf	IAPAR9
SRR12873464	PRJNA670511	Control	Leaf	IAPAR9
SRR12873465	PRJNA670511	Control	Leaf	IAPAR9
SRR12873466	PRJNA670511	Control	Leaf	IAPAR9
SRR12873467	PRJNA670511	Drought	Leaf	IAPAR9
SRR12873468	PRJNA670511	Drought	Leaf	IAPAR9
SRR12873469	PRJNA670511	Drought	Leaf	IAPAR9
SRR12873470	PRJNA670511	Drought	Leaf	IAPAR9
SRR12873471	PRJNA670511	Drought	Leaf	IAPAR9
SRR12873472	PRJNA670511	Drought	Leaf	IAPAR9
SRR13684563	PRJNA701362	Drought	Seedling	Badshabhog
SRR13684564	PRJNA701362	Drought	Seedling	Jamainadu
SRR14322728	PRJNA725109	Drought	Leaf	
SRR14322729	PRJNA725109	Drought	Leaf	
SRR14322730	PRJNA725109	Control	Leaf	
SRR14322731	PRJNA725109	Control	Leaf	
SRR14322732	PRJNA725109	Control	Leaf	
SRR14322733	PRJNA725109	Drought	Leaf	
SRR14728706	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14728707	PRJNA734967	Drought	Shoot	Liaoyan 241
SRR14728708	PRJNA734967	Drought	Shoot	Liaoyan 241
SRR14728709	PRJNA734967	Drought	Shoot	Liaoyan 241
SRR14728720	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14728731	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14728742	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14728743	PRJNA734967	Drought	Shoot	Nipponbare
SRR14728744	PRJNA734967	Drought	Shoot	Nipponbare
SRR14728745	PRJNA734967	Drought	Shoot	Nipponbare
SRR14728746	PRJNA734967	Control	Shoot	Nipponbare
SRR14728747	PRJNA734967	Control	Shoot	Nipponbare
SRR14728748	PRJNA734967	Control	Shoot	Nipponbare
SRR14728749	PRJNA734967	Drought	Shoot	Nipponbare
SRR14728750	PRJNA734967	Drought	Shoot	Nipponbare
SRR14728751	PRJNA734967	Drought	Shoot	Nipponbare
SRR14728752	PRJNA734967	Control	Shoot	Nipponbare
SRR14728753	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14728754	PRJNA734967	Control	Shoot	Nipponbare
SRR14728755	PRJNA734967	Control	Shoot	Nipponbare
SRR14728756	PRJNA734967	Control	Shoot	Nipponbare
SRR14728757	PRJNA734967	Control	Shoot	Nipponbare
SRR14728758	PRJNA734967	Control	Shoot	Nipponbare
SRR14728759	PRJNA734967	Drought	Shoot	Liaoyan 241
SRR14728760	PRJNA734967	Drought	Shoot	Liaoyan 241
SRR14728761	PRJNA734967	Drought	Shoot	Liaoyan 241
SRR14728762	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14728763	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14728764	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14728765	PRJNA734967	Control	Shoot	Liaoyan 241
SRR14933517	PRJNA741840	Drought	Seedling	9311S
SRR14933518	PRJNA741840	Drought	Seedling	9311S
SRR14933519	PRJNA741840	Drought	Seedling	9311S
SRR14998545	PRJNA742504	Drought	Seedling	9311
SRR14998546	PRJNA742504	Drought	Seedling	9311
SRR14998547	PRJNA742504	Drought	Seedling	9311
SRR15962816	PRJNA764445	Drought	Leaf	
SRR15962817	PRJNA764445	Drought	Leaf	
SRR15962818	PRJNA764445	Drought	Leaf	
SRR15962819	PRJNA764445	Control	Leaf	
SRR15962820	PRJNA764445	Control	Leaf	
SRR15962821	PRJNA764445	Control	Leaf	
SRR17972630	PRJNA805197	Control	Shoot	Nipponbare
SRR17972631	PRJNA805197	Control	Shoot	Nipponbare
SRR17972632	PRJNA805197	Control	Shoot	Nipponbare
SRR17972633	PRJNA805197	Drought	Shoot	Nipponbare
SRR17972634	PRJNA805197	Drought	Shoot	Nipponbare
SRR17972635	PRJNA805197	Drought	Shoot	Nipponbare
SRR17972636	PRJNA805197	Drought	Shoot	Nipponbare
SRR17972637	PRJNA805197	Drought	Shoot	Nipponbare
SRR17972638	PRJNA805197	Control	Shoot	Nipponbare
SRR17972639	PRJNA805197	Control	Shoot	Nipponbare
SRR17972640	PRJNA805197	Control	Shoot	Nipponbare
SRR17972641	PRJNA805197	Drought	Shoot	Nipponbare
SRR17972642	PRJNA805197	Drought	Shoot	Nipponbare
SRR18090873	PRJNA809028	Drought	Leaf	Taichung Native 1
SRR18090874	PRJNA809028	Control	Leaf	Taichung Native 1
SRR18090877	PRJNA809028	Drought	Leaf	BPT5204
SRR18090878	PRJNA809028	Control	Leaf	BPT5204
SRR18591503	PRJNA822865	Drought	Endosperm	
SRR18591504	PRJNA822865	Drought	Endosperm	
SRR18591505	PRJNA822865	Drought	Endosperm	
SRR20140161	PRJNA858295	Drought	Leaf	c36-13
SRR20140162	PRJNA858295	Control	Leaf	c36-13
SRR20140163	PRJNA858295	Drought	Leaf	Huangye Dao
SRR20140164	PRJNA858295	Control	Leaf	Huangye Dao
SRR20140165	PRJNA858295	Drought	Leaf	NaiHan-BaiSha
SRR20140166	PRJNA858295	Control	Leaf	NaiHan-BaiSha
SRR20140167	PRJNA858295	Drought	Leaf	Wangling NO.3
SRR20140168	PRJNA858295	Control	Leaf	Wangling NO.3
SRR20140169	PRJNA858295	Drought	Leaf	Shanchuan 24
SRR20140170	PRJNA858295	Control	Leaf	Shanchuan 24
SRR21118385	PRJNA865102	Drought	Panicle	MTU1010
SRR21118386	PRJNA865102	Control	Panicle	MTU1010
SRR21118387	PRJNA865102	Drought	Panicle	MTU1010
SRR21118388	PRJNA865102	Control	Panicle	MTU1010
SRR21019284	PRJNA866990	Drought	Leaf	MR303
SRR21019285	PRJNA866990	Drought	Leaf	MR303
SRR21019286	PRJNA866990	Drought	Leaf	MR303
SRR21019287	PRJNA866990	Control	Leaf	MR303
SRR21019288	PRJNA866990	Control	Leaf	MR303
SRR21019289	PRJNA866990	Control	Leaf	MR303
SRR22854100	PRJNA914759	Drought	Shoot	Nipponbare
SRR22854101	PRJNA914759	Drought	Shoot	Nipponbare
SRR22854102	PRJNA914759	Drought	Shoot	Nipponbare
SRR22854103	PRJNA914759	Drought	Shoot	Nipponbare
SRR22854104	PRJNA914759	Drought	Shoot	Nipponbare
SRR22854105	PRJNA914759	Drought	Shoot	Nipponbare
SRR22854106	PRJNA914759	Drought	Shoot	Nipponbare
SRR22854107	PRJNA914759	Drought	Shoot	Nipponbare
SRR22854108	PRJNA914759	Drought	Shoot	Nipponbare
