Species	SRA	Percent
Arabidopsis	ERR1588861	79.97
Arabidopsis	SRR3371316	79.96
Arabidopsis	ERR5732376	79.90
Arabidopsis	SRR3371286	79.88
Arabidopsis	SRR3371312	79.88
Arabidopsis	SRR3993535	79.85
Arabidopsis	ERR1588825	79.79
Arabidopsis	SRR12380977	79.78
Arabidopsis	ERR1588881	79.78
Arabidopsis	SRR2989694	79.75
Arabidopsis	ERR1025334	79.75
Arabidopsis	SRR15294151	79.74
Arabidopsis	ERR5732378	79.74
Arabidopsis	SRR2989695	79.71
Arabidopsis	ERR1025335	79.66
Arabidopsis	SRR2989693	79.62
Arabidopsis	SRR3371338	79.62
Arabidopsis	ERR5732370	79.60
Arabidopsis	SRR3383426	79.59
Arabidopsis	ERR1025329	79.58
Arabidopsis	ERR1588837	79.53
Arabidopsis	ERR1025337	79.51
Arabidopsis	SRR3371325	79.47
Arabidopsis	ERR1025331	79.44
Arabidopsis	ERR1025327	79.43
Arabidopsis	ERR1589002	79.40
Arabidopsis	SRR2989696	79.31
Arabidopsis	ERR1588931	79.31
Arabidopsis	ERR1588832	79.29
Arabidopsis	SRR12380978	79.28
Arabidopsis	ERR1025332	79.23
Arabidopsis	ERR5732375	79.21
Arabidopsis	SRR921315	79.20
Arabidopsis	ERR1588958	79.19
Arabidopsis	ERR1588984	79.17
Arabidopsis	SRR649744	79.15
Arabidopsis	ERR1588843	79.15
Arabidopsis	ERR1588854	79.13
Arabidopsis	SRR2989690	79.09
Arabidopsis	ERR5732372	79.09
Arabidopsis	DRR149038	79.06
Arabidopsis	SRR2989691	79.03
Arabidopsis	SRR2989700	79.02
Arabidopsis	SRR3371317	79.02
Arabidopsis	ERR1588937	78.96
Arabidopsis	ERR1588930	78.96
Arabidopsis	ERR1588978	78.95
Arabidopsis	SRR3993528	78.89
Arabidopsis	ERR1588844	78.73
Arabidopsis	SRR2989689	78.72
Arabidopsis	SRR649742	78.72
Arabidopsis	ERR1588915	78.60
Arabidopsis	SRR3993551	78.59
Arabidopsis	ERR1588971	78.56
Arabidopsis	DRR149035	78.55
Arabidopsis	ERR5732369	78.53
Arabidopsis	ERR1588934	78.52
Arabidopsis	ERR1588923	78.46
Arabidopsis	SRR3993553	78.43
Arabidopsis	SRR2989692	78.41
Arabidopsis	ERR1588979	78.35
Arabidopsis	ERR1588795	78.33
Arabidopsis	ERR1588975	78.30
Arabidopsis	SRR3536609	78.30
Arabidopsis	ERR1588852	78.29
Arabidopsis	SRR16090790	78.29
Arabidopsis	ERR1025325	78.27
Arabidopsis	ERR1588900	78.26
Arabidopsis	ERR1588991	78.26
Arabidopsis	ERR1588998	78.25
Arabidopsis	SRR3371342	78.24
Arabidopsis	ERR1589010	78.24
Arabidopsis	SRR3993550	78.24
Arabidopsis	ERR1588828	78.23
Arabidopsis	ERR5732374	78.23
Arabidopsis	ERR1588928	78.22
Arabidopsis	SRR3993552	78.22
Arabidopsis	ERR1588827	78.21
Arabidopsis	ERR1588796	78.15
Arabidopsis	ERR1588788	78.12
Arabidopsis	SRR3993554	78.10
Arabidopsis	ERR1588850	78.02
Arabidopsis	ERR1589007	78.01
Arabidopsis	SRR3371291	78.00
Arabidopsis	SRR3993549	78.00
Arabidopsis	ERR1588899	77.98
Arabidopsis	ERR1588988	77.98
Arabidopsis	SRR3371302	77.94
Arabidopsis	ERR1025328	77.89
Arabidopsis	SRR649739	77.89
Arabidopsis	SRR3993529	77.86
Arabidopsis	ERR1588811	77.85
Arabidopsis	ERR1588992	77.80
Arabidopsis	SRR7947113	77.74
Arabidopsis	SRR15294158	77.71
Arabidopsis	SRR3371340	77.70
Arabidopsis	ERR1588904	77.62
Arabidopsis	SRR2989716	77.61
Arabidopsis	ERR1588791	77.61
Arabidopsis	SRR15294171	77.59
Arabidopsis	SRR2989703	77.55
Arabidopsis	ERR5732379	77.54
Arabidopsis	SRR1618838	77.52
Arabidopsis	SRR2989702	77.52
Arabidopsis	SRR7687417	77.47
Arabidopsis	ERR1588957	77.45
Arabidopsis	ERR1588983	77.45
Arabidopsis	SRR2989701	77.41
Arabidopsis	SRR2989714	77.41
Arabidopsis	ERR1588792	77.41
Arabidopsis	ERR1588922	77.37
Arabidopsis	SRR3371323	77.34
Arabidopsis	SRR7947111	77.33
Arabidopsis	SRR2989712	77.29
Arabidopsis	ERR1588912	77.28
Arabidopsis	SRR3993530	77.28
Arabidopsis	ERR1588932	77.27
Arabidopsis	SRR3536607	77.27
Arabidopsis	SRR2989713	77.22
Arabidopsis	SRR649737	77.21
Arabidopsis	SRR3993531	77.18
Arabidopsis	SRR649745	77.14
Arabidopsis	ERR1588962	77.14
Arabidopsis	ERR5732371	77.13
Arabidopsis	ERR1588918	77.12
Arabidopsis	ERR1588877	77.12
Arabidopsis	SRR2989704	77.11
Arabidopsis	SRR2989710	77.10
Arabidopsis	DRR149039	77.10
Arabidopsis	SRR6080011	77.07
Arabidopsis	SRR6008907	77.01
Arabidopsis	ERR1588870	76.99
Arabidopsis	ERR1588980	76.99
Arabidopsis	ERR1588905	76.98
Arabidopsis	SRR1618840	76.97
Arabidopsis	ERR1588867	76.97
Arabidopsis	SRR3536605	76.94
Arabidopsis	SRR2989709	76.91
Arabidopsis	SRR7947115	76.91
Arabidopsis	SRR7687419	76.90
Arabidopsis	SRR649747	76.89
Arabidopsis	ERR754078	76.87
Arabidopsis	ERR1588812	76.87
Arabidopsis	SRR7947117	76.86
Arabidopsis	SRR2989715	76.85
Arabidopsis	ERR1588977	76.82
Arabidopsis	ERR1588916	76.79
Arabidopsis	SRR3993555	76.76
Arabidopsis	ERR1588901	76.73
Arabidopsis	ERR1588860	76.71
Arabidopsis	SRR3383694	76.70
Arabidopsis	ERR1588887	76.68
Arabidopsis	SRR7947119	76.65
Arabidopsis	ERR1588976	76.62
Arabidopsis	SRR2989711	76.61
Arabidopsis	ERR1025339	76.60
Arabidopsis	ERR1588935	76.58
Arabidopsis	ERR1588809	76.58
Arabidopsis	ERR5732373	76.45
Arabidopsis	SRR3993534	76.42
Arabidopsis	SRR649740	76.41
Arabidopsis	ERR1588858	76.41
Arabidopsis	ERR1588805	76.41
Arabidopsis	ERR1588824	76.40
Arabidopsis	ERR1588913	76.37
Arabidopsis	SRR3383692	76.37
Arabidopsis	SRR18440379	76.36
Arabidopsis	SRR3993540	76.36
Arabidopsis	SRR18440385	76.30
Arabidopsis	ERR1589000	76.30
Arabidopsis	SRR649746	76.29
Arabidopsis	ERR1588936	76.29
Arabidopsis	ERR1588959	76.28
Arabidopsis	SRR11144448	76.28
Arabidopsis	SRR1618843	76.27
Arabidopsis	SRR6080012	76.27
Arabidopsis	ERR1588864	76.25
Arabidopsis	ERR1588885	76.22
Arabidopsis	SRR18440400	76.19
Arabidopsis	SRR16090793	76.18
Arabidopsis	SRR13861748	76.15
Arabidopsis	SRR2989708	76.10
Arabidopsis	SRR18440380	76.09
Arabidopsis	ERR1588820	76.07
Arabidopsis	SRR2989707	76.05
Arabidopsis	SRR11972810	76.03
Arabidopsis	SRR18440383	76.01
Arabidopsis	ERR1588857	76.01
Arabidopsis	SRR2989706	76.00
Arabidopsis	SRR649743	76.00
Arabidopsis	ERR1588855	76.00
Arabidopsis	SRR649738	75.99
Arabidopsis	ERR1588898	75.99
Arabidopsis	ERR1588869	75.98
Arabidopsis	ERR1588955	75.98
Arabidopsis	SRR3383695	75.97
Arabidopsis	SRR6080013	75.96
Arabidopsis	SRR2989720	75.91
Arabidopsis	ERR1588940	75.89
Arabidopsis	SRR5875675	75.88
Arabidopsis	SRR2989705	75.80
Arabidopsis	SRR16090784	75.80
Arabidopsis	SRR2989717	75.77
Arabidopsis	ERR1588925	75.77
Arabidopsis	SRR2989718	75.75
Arabidopsis	SRR16090791	75.74
Arabidopsis	ERR1588917	75.71
Arabidopsis	SRR18440399	75.65
Arabidopsis	SRR18440384	75.64
Arabidopsis	DRR149040	75.59
Arabidopsis	SRR6008841	75.58
Arabidopsis	ERR5732380	75.58
Arabidopsis	ERR1588965	75.57
Arabidopsis	SRR10541006	75.54
Arabidopsis	SRR15294175	75.50
Arabidopsis	SRR7687418	75.49
Arabidopsis	ERR1588826	75.47
Arabidopsis	ERR1588927	75.40
Arabidopsis	ERR1589008	75.38
Arabidopsis	SRR3383831	75.37
Arabidopsis	SRR3371290	75.35
Arabidopsis	SRR10541004	75.35
Arabidopsis	SRR649741	75.33
Arabidopsis	ERR1588856	75.32
Arabidopsis	ERR1588939	75.30
Arabidopsis	ERR1588938	75.25
Arabidopsis	ERR1588871	75.24
Arabidopsis	SRR4015217	75.24
Arabidopsis	SRR2989719	75.23
Arabidopsis	SRR4015216	75.23
Arabidopsis	SRR18440381	75.21
Arabidopsis	SRR3383832	75.20
Arabidopsis	SRR4015235	75.20
Arabidopsis	SRR4015224	75.19
Arabidopsis	ERR1588810	75.18
Arabidopsis	SRR12687370	75.15
Arabidopsis	SRR18440401	75.12
Arabidopsis	SRR6080014	75.10
Arabidopsis	SRR16090783	75.07
Arabidopsis	ERR1588806	75.07
Arabidopsis	ERR1588884	75.07
Arabidopsis	SRR5875105	75.04
Arabidopsis	SRR18440382	75.03
Arabidopsis	SRR11672596	75.03
Arabidopsis	SRR7687416	75.02
Arabidopsis	ERR1588960	74.97
Arabidopsis	ERR1588863	74.93
Arabidopsis	ERR1588942	74.92
Arabidopsis	ERR1588961	74.90
Arabidopsis	SRR8368640	74.86
Arabidopsis	ERR1588947	74.81
Arabidopsis	ERR1588995	74.81
Arabidopsis	ERR1588822	74.80
Arabidopsis	SRR4015236	74.79
Arabidopsis	SRR4015219	74.79
Arabidopsis	SRR4015228	74.75
Arabidopsis	SRR16090792	74.73
Arabidopsis	SRR12687371	74.72
Arabidopsis	SRR10540999	74.71
Arabidopsis	ERR1588943	74.70
Arabidopsis	SRR8368636	74.69
Arabidopsis	SRR4015222	74.68
Arabidopsis	SRR18440390	74.68
